ACER A315-34 IntelCeleron-4020 4GB 128GBSSD 156 Siyah Dizüstü Bilgisayar(Acer Türkiye Garantili) NX.HE3EY.00C ,7498,4.6,256,16,Intel Core i7,141,Free Dos,BST Biliþim,ACER
LENOVO Ideapad 1 81VU00FQTX Celeron N4020-4Gb-128Gb Ssd-14inc-W ,7249,4.6,512,16,Intel Core i7,141,Free Dos,BORTAÞ TEKNOJi,LENOVO
"LENOVO Thinkbook 15 G3 Amd Ryzen R5 5500u 16 Gb 512 Gb Ssd 15.6"" Fhd Freedos 21a40039tx009 21A40039TX009 ",11749,4.0,500,16,Intel Core i7,141,Free Dos,notebookstore,LENOVO
"Gamepage Magic X70 I5-3470 16gb 256gb 1tb Gtx1050ti 23.8"" Curved Oyuncu Masaüstü Bilgisayar GMP-MGX70 ",10302,4.6,256,16,Intel Core i7,141,Free Dos,ÝBC BÝLÝÞÝM,Gamepage
"WARBOX Lpt Full Pro I5 750 8gb 240gb Ssd R5 230-2gb E.kartý 19.5"" Hd / Laptop Hediyeli Oyuncu Bilgisayarý ",5538,5.0,500,16,Intel Core i7,141,Free Dos,Teknoloji Outlet,WARBOX
DMC N141x (gta5) I5-3470 16gb 1tb Hdd 128gb Ssd 4gb Oyuncu Masaüstü Bilgisayarý TYC00606648923 ,5379,4.3,500,16,Intel Core i7,141,Free Dos,DMCBÝLGÝSAYAR,DMC
DMC Nx9 (GTA 5) I5-347016gb Ram256gb Ssd 500gb Hdd4gb Gt73024masaüstü Oyuncu Bilgisayarý 0284 ,8399,4.8,500,16,Intel Core i7,141,Free Dos,DMCBÝLGÝSAYAR,DMC
"TURBOX Tx828 i7 860 16GB Ram 256GB SSD 4GB EK. 23.8"" Curved Monitör Masaüstü Oyun Bilgisayarý ATM00000844 ",7785,3.6,500,16,Intel Core i7,141,Free Dos,Atom Biliþim,TURBOX
"ASUS X415ea-eb573 Intel I5-1135g7 8gb 512gb Ssd 14"" Ips Fhd Freedos X415EA-EB573 ",11249,5.0,500,16,Intel Core i7,141,Free Dos,Technohayy,ASUS
"Zeiron Cx44 I7 860 16gb Ram 256gb Ssd Gt730 4gb 23.8"" Oyuncu Masaüstü Bilgisayar ZRN-CX44 ",6714,4.5,500,16,Intel Core i7,141,Free Dos,CÝTY BÝLÝÞÝM,Zeiron
ASUS Intel Core I3 1115g4 12 Gb Ram 128 Gb Ssd 15.6 W11 X515ea-bq967w-12g X515EA-BQ967W-12G ,7999,3.4,500,16,Intel Core i7,141,Free Dos,AYBÝLÝÞÝM,ASUS
"Apple Macbook Pro M2 Çip 16 Gb 512 Gb Ssd 13.6"" Uzay Grisi Notebook Z16s00069 125034745 ",34499,5.0,500,16,Intel Core i7,141,Mac Os,GpnTeknoloji,Apple
ASUS Rog Strix G18 I9-13980hx 64gb 2tb Ssd 18 Qhd+ W11p Taþýnabilir Bilgisayar G814jý-n6107 G814JIW6 ,72991,3.2,500,16,Intel Core i7,141,Free Dos,ALTUN ELEKTRONÝK,ASUS
"Game Garaj Slayer 7-3060 C2 I7-11800h 16gb 512gb 6gb Rtx3060 15.6"" Free Dos ",24658,4.6,256,16,Intel Core i7,141,Free Dos,Garaj Online Elektronik,Game Garaj
"LENOVO 82k200jxtx Amd Ryzen 7 5800h 16gb 512gb Ssd Gtx1650 15.6"" Fhd Freedos Dizüstü Bilgisayar 82K200JXTX ",18999,4.5,500,16,Intel Core i7,141,Free Dos,AZÝZ GSM PLUS,LENOVO
Apple MacBook Pro 14 M2 MAX 32GB 1TB SSD Silver Laptop (Apple Türkiye Garantili) MPHK3TU/A ,77399,3.8,500,16,Intel Core i7,141,Free Dos,Teknorya,Apple
DMC N86x I5 750 ( 4 Çekirdek ) 8gb Ram256gb Ssd4gb Gt740 Ekran Kartýmasaüstü Oyun Bilgisayarý 3367 ,4599,4.0,500,16,Intel Core i7,141,Free Dos,DMCBÝLGÝSAYAR,DMC
"LENOVO V14 I3-1115g4 12 Gb 256 Gb Ssd 14"" Fhd Free Dos Taþýnabilir Bilgisayar 82ka001ttx007 82KA001TTX007 ",9089,3.6,500,16,Intel Core i7,141,Free Dos,notebookstore,LENOVO
"IZOLY Start X I5-560m 8gb 256gb Ssd 22"" Fhd Masaüstü Bilgisayar ",4399,3.8,500,16,Intel Core i7,141,Free Dos,Ýzoly,IZOLY
"LENOVO V15 G2 Itl Core I7-1165g7 16 Gb 256 Gb 15.6"" Fhd Free Dos 82kb00cbtx013 82KB00CBTX013 ",14869,2.5,500,16,Intel Core i7,141,Free Dos,notebookstore,LENOVO
